"id","cnpj","natureza_juridica","razao_social","data_inicio_atividades","data_situacao_cadastral","data_situacao_especial","motivo_situacao_cadastral","situacao_cadastral","situacao_especial","nome_fantasia"
1097,"53276822000166","1210",CONSORCIO INTERMUNICIPAL DE SERVICOS DE ACOLHIMENTO PARA CRIANCAS E ADOLESCENTES NAS MODALIDADES FAMILIAR E INSTITUCIONAL,"20230314","20230314","","00","02","",""
1608,"53733311000126","1210",CONSORCIO REGIONAL DE SANEAMENTO DO ESTADO DE ALAGOAS - CORSEAL,"20231228","20231228","","00","02","",CORSEAL
1228,"04536794000163","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DO ALTO URUGUAI CATARINENSE,"20010602","0","","00","02","",""
1352,"04987255000140","1210",CONSORCIO INTERMUNICIPAL PRO-ESTRADA,"20020410","20240118","","00","02","",CONSORCIO PRO-ESTRADA
1209,"04043821000166","1210",CONSORCIO INTERMUNICIPAL MELHOR ESTRADA,"20000915","20000915","","00","02","",CONSORCIO INTERMUNICIPAL MELHOR ESTRADA
1287,"07051788000104","1210",CONSORCIO INTERMUNICIPAL PARA DESENVOLVIMENTO REGIONAL,"20040930","20040930","","00","02","",CONDER
1123,"04695617000120","1210",CONSORCIO INTERMUNICIPAL DO CONTESTADO - COINCO,"20011004","20011004","","00","02","",COINCO
1270,"11201252000103","1210",CONSORCIO INTERMUNICIPAL PARA ASSISTENCIA DA CRIANCA E DO ADOLESCENTE - CIACA,"20090831","20090831","","00","02","",CIACA
1567,"11884641000172","1210",CONSORCIO PUBLICO INTERMUNICIPAL PARA ASSUNTOS ESTRATEGICOS DO G8 - CIPAE G8,"20100422","20100422","","00","02","",CIPAE G8
1607,"15508976000147","1210",CONSORCIO REGIONAL MULTIFINALITARIO DE SANEAMENTO BASICO CENTRAL DE MINAS - CORESAB CENTRAL DE MINAS,"20120508","20120508","","00","02","",CONSORCIO DE SANEAMENTO BASICO CENTRAL DE MINAS
1166,"17851062000100","1210",CONSORCIO INTERMUNICIPAL DO VALE DO RIO JORDAO (CRJ),"20130327","20130327","","00","02","",CRJ
1259,"18303697000135","1210","CONSORCIO INTERMUNICIPAL NORTE MINEIRO DE DESENVOLVIMENTO REGIONAL DOS VALES DO CARINHANHA, COCHA, PERUACU, JAPORE E SAO FRANCISCO - CIMVALES","20130606","20130606","","00","02","",CIMVALES
1093,"19297980000164","1210",CONSORCIO INTERMUNICIPAL DE SERVICO SOCIOASSISTENCIAL CASA LAR,"20131114","20190401","","00","02","",CASA LAR
1148,"23095152000110","1210",CONSORCIO INTERMUNICIPAL DO SERVICO SOCIOASSISTENCIAL DE ALTA COMPLEXIDADE - MODALIDADE ABRIGO INSTITUCIONAL,"20150619","20150619","","00","02","",ABRIGO INSTITUCIONAL
1442,"32192760000134","1210",CONSORCIO PUBLICO DE MANEJO DOS RESIDUOS SOLIDOS DA REGIAO SERTAO CENTRO SUL,"20180519","20180519","","00","02","",CONSCENSUL
1225,"34363129000186","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DE GESTAO PUBLICA DA AMESC,"20190715","20190715","","00","02","",CIMGEPA
1390,"54713813000310","1210",CONSORCIO INTERMUNICIPAL VALES DOS RIOS TIETE-PARANA,"20190730","20190730","","00","02","",""
